NAME,VERSION,REPO,HOMEPAGE,DESCRIPTION
font-isas-misc,1.0.3-2,main,,"X.org isas-misc fonts"
font-jis-misc,1.0.3-2,main,,"X.org jis-misc fonts"
font-misc-ethiopic,1.0.4-2,main,,"X.org misc fonts"
font-util,1.3.3-2,main,,"X.Org font utilities"
font-xfree86-type1,1.0.4-2,main,,"X.org Type1 fonts"
fortune-mod,3.14.0-1,main,,"Display random text quotes on the command line"
freeglut,3.2.2-1,main,,"Provides functionality for small OpenGL programs"
freetube,0.17.0-1,main,https://freetubeapp.io/,"The Private YouTube Client"
freetype2,2.12.1-1,main,,"Font rasterization library"
freetype2-32,2.12.1-1,multilib,,"Font rasterization library"
frei0r-plugins,1.8.0-1,main,,"Minimalistic plugin API for video effects"
fribidi,1.0.12-1,main,,"Implementation of the Unicode Bidirectional Algorithm (BIDI)"
fstrcmp,0.7.D001-1,main,,"fstrcmp - a library that is used to make fuzzy comparisons of strings and byte arrays"
fuse2,2.9.9-1,main,https://github.com/libfuse/libfuse,"Simple interface for userspace programs to export a virtual filesystem to the Linux kernel"
fuse3,3.11.0-1,main,,"A simple interface for userspace programs to export a virtual filesystem to the Linux kernel"
fzf,0.31.0-1,main,https://github.com/junegunn/fzf/,"A general-purpose command-line fuzzy finder"
g15daemon,3.0.4-1,main,https://gitlab.com/menelkir/g15daemon/,"G15daemon takes control of the G15 keyboard, allowing the use of all keys through the linux kernel uinput device driver. "
galculator,2.1.4-1,main,,"GTK+ based scientific calculator"
garcon,4.16.1-1,main,,"Freedesktop.org compliant menu implementation based on GLib and GIO"
gavl,1.4.0-1,main,,"Low level library that handles the details of audio and video formats"
gawk,5.1.1-1,main,,"Programs for manipulating text files"
gc,8.2.0-2,main,,"Boehm-Demers-Weiser conservative garbage collector"
gcab,1.4-1,main,,"A GObject library to create cabinet files"
gcc,11.2.0-1,main,,"The GNU compiler collection, which includes the C and C++ compilers"
gcolor2,0.4-1,main,,"A simple GTK+2 color selector"
gconf,3.2.6-2,main,,"Configuration database system used by many GNOME applications"
gcr,3.40.0-1,main,,"Libraries used for displaying certificates and accessing key stores"
gdbm,1.23-1,main,,"The GNU Database Manager"
gdk-pixbuf,2.42.8-1,main,,"Toolkit for image loading and pixel buffer manipulation"
gdk-pixbuf-xlib,2.40.2-1,main,,"Deprecated Xlib integration for GdkPixbuf"
gdl,3.34.0-1,main,,"GNOME Docking Library"
geany,1.38-1,main,,"Fast and lightweight IDE"
geany-themes,1.24-1,main,,"Themes for geany"
gegl,0.4.38-1,main,,"GEneric Graphics Library, a graph based image processing format"
getmail,6.18.9-1,main,,"IMAP and POP3 mail retriever with reliable Maildir and command delivery"
gettext,0.21-1,main,,"Utilities for internationalization and localization"
gexiv2,0.14.0-1,main,,"GObject-based wrapper around the Exiv2 library"
ghc,8.10.5-1,main,https://www.haskell.org/haskellwiki/Glasgow_Haskell_Compiler,"Glasgow Haskell compiler"
ghostscript,9.56.1-1,main,,"Postscript interpreter "
giblib,1.2.4-1,main,,"A library that feh uses as a wrapper to imlib2"
giflib,5.2.1-1,main,,"Libraries for reading and writing GIFs as well as programs for converting and working with GIF files"
gimp,2.10.32-1,main,,"GNU Image Manipulation Program"
girara,0.3.7-1,main,,"UI library that focuses on simplicity and minimalism"
git,2.37.1-1,main,,"Version control system designed to handle everything from small to very large projects with speed and efficiency"
github-cli,2.14.3-1,main,,"The GitHub CLI"
glew,2.2.0-1,main,,"The OpenGL Extension Wrangler Library"
glib,2.72.3-1,main,,"Low-level libraries useful for providing data structure handling for C, portability wrappers and interfaces"
glib-32,2.72.3-1,multilib,,"Low-level libraries useful for providing data structure handling for C, portability wrappers and interfaces"
glibc,2.34-1,main,,"The main C library"
glibmm,2.66.4-1,main,,"Set of C++ bindings for GLib"
glib-networking,2.72.1-1,main,,"Network related gio modules for GLib"
glslang,11.9.0-1,main,https://github.com/KhronosGroup/glslang,"OpenGL and OpenGL ES shader front end and validator"
glu-32,9.0.2-1,multilib,,"Mesa OpenGL Utility library"
glu,9.0.2-1,main,,"Mesa OpenGL Utility library"
gmime3,3.2.12-1,main,,"A C/C++ MIME creation and parser library with support for S/MIME, PGP, and Unix mbox spools "
gmrun,1.4w-1,main,,"A simple program which provides a run program window"
gnome-bluetooth,3.34.5-1,main,,"The GNOME Bluetooth Subsystem"
gnome-common,3.18.0-2,main,,"Common development macros for GNOME"
gnome-desktop,42.2-1,main,,"Library that provides an API shared by several applications on the GNOME Desktop"
gnome-icon-theme,3.12.0-1,main,,"Contains an assortment of non-scalable icons of different sizes and themes"
gnome-keyring,42.1-1,main,,"Daemon that keeps passwords and other secrets for users"
gnome-menus,3.36.0-1,main,,"Implementation of the draft Desktop Menu Specification from freedesktop.org"
gnote,42.1-1,main,https://wiki.gnome.org/Apps/Gnote,"A note taking application"
gnu-efi,3.0.14-1,main,,"GNU EFI library"
gnumeric,1.12.52-1,main,,"gnumeric "
